class,filename,height,width,xmax,xmin,ymax,ymin
plastic,Grogol_Location_1_2018-05-02 11-15-00-05_cam6.jpg,1080,1920,186.0,153.0,386.0,330.0
plastic,Grogol_Location_1_2018-05-02 11-15-00-05_cam6.jpg,1080,1920,271.0,233.0,296.0,255.0
plastic,Grogol_Location_1_2018-05-02 11-15-00-05_cam6.jpg,1080,1920,66.0,41.0,874.0,840.0
plastic,Grogol_Location_1_2018-05-02 11-15-00-05_cam6.jpg,1080,1920,551.0,527.0,931.0,902.0
plastic,Grogol_Location_1_2018-05-02 12-00-00-05_cam6.jpg,1080,1920,211.0,174.0,768.0,723.0
plastic,Grogol_Location_1_2018-05-02 12-00-00-05_cam6.jpg,1080,1920,205.0,145.0,326.0,241.0
plastic,Grogol_Location_1_2018-05-02 12-00-00-05_cam6.jpg,1080,1920,256.0,206.0,299.0,245.0
plastic,Grogol_Location_1_2018-05-02 12-00-00-05_cam6.jpg,1080,1920,959.0,901.0,729.0,669.0
plastic,Grogol_Location_1_2018-05-03 12-00-00-05_cam6.jpg,1080,1920,93.0,54.0,312.0,233.0
plastic,Grogol_Location_1_2018-05-03 12-00-00-05_cam6.jpg,1080,1920,370.0,315.0,393.0,350.0
plastic,Grogol_Location_1_2018-05-03 12-00-00-05_cam6.jpg,1080,1920,1581.0,1515.0,1022.0,977.0
plastic,Grogol_Location_1_2018-05-03 12-00-00-05_cam6.jpg,1080,1920,828.0,743.0,1076.0,989.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,1305.0,1264.0,528.0,475.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,1711.0,1654.0,606.0,553.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,1101.0,1048.0,506.0,439.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,374.0,333.0,300.0,263.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,260.0,224.0,304.0,260.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,278.0,211.0,943.0,808.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,226.0,193.0,792.0,730.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,335.0,287.0,885.0,838.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,41.0,20.0,480.0,445.0
plastic,Grogol_Location_1_2018-05-03 12-15-00-05_cam6.jpg,1080,1920,69.0,40.0,374.0,336.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,832.0,781.0,909.0,854.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,443.0,409.0,206.0,168.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,597.0,553.0,690.0,623.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,1416.0,1368.0,275.0,229.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,257.0,227.0,536.0,479.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,132.0,80.0,911.0,827.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,463.0,402.0,795.0,729.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,159.0,116.0,1032.0,972.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,1157.0,1118.0,786.0,732.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,415.0,386.0,598.0,563.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,185.0,156.0,901.0,866.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,49.0,16.0,500.0,452.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,884.0,842.0,530.0,494.0
plastic,Grogol_Location_1_2018-05-03 12-30-00-05_cam6.jpg,1080,1920,422.0,385.0,703.0,657.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,439.0,401.0,699.0,657.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,322.0,287.0,455.0,409.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,252.0,213.0,784.0,742.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,201.0,169.0,253.0,192.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,183.0,152.0,829.0,797.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,223.0,184.0,722.0,683.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,165.0,121.0,702.0,658.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,404.0,381.0,418.0,391.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,584.0,552.0,883.0,846.0
plastic,Grogol_Location_1_2018-05-03 12-45-00-05_cam6.jpg,1080,1920,1206.0,1181.0,781.0,755.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,1411.0,1381.0,410.0,351.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,444.0,415.0,998.0,966.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,255.0,195.0,477.0,404.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,1766.0,1743.0,964.0,928.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,1082.0,1050.0,930.0,898.0
